Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Itaú;Banelco;CABILDO AV. 1000;3;http://www.banelco.com/;mar-15;-58.446.501.307.244.400;-34.569.404.930.152.900
Banco Supervielle;Banelco;CABILDO AV. 1020;2;http://www.banelco.com/;mar-15;-5.844.687.140.119.950;-34.569.199.069.685.000
Banco Santander Río;Banelco;CABILDO AV. 1021;2;http://www.banelco.com/;mar-15;-5.844.650.747.084.910;-34.568.946.119.248.300
Banco Patagonia;Banelco;CABILDO AV. 1159;2;http://www.banelco.com/;mar-15;-58.447.567.301.307.700;-34.568.405.866.425.700
BBVA-Banco Francés;Banelco;CABILDO AV. 1732;2;http://www.banelco.com/;mar-15;-58.453.995.811.514.900;-34.565.427.480.532.100
Banco Santander Río;Banelco;CABILDO AV. 1741;3;http://www.banelco.com/;mar-15;-58.453.565.961.036.600;-34.565.146.639.005.600
ICBC;Banelco;CABILDO AV. 1750;2;http://www.banelco.com/;mar-15;-58.454.091.326.677.700;-34.565.338.015.386.700
HSBC Argentina;Banelco;CABILDO AV. 1802;3;http://www.banelco.com/;mar-15;-58.454.537.717.008.600;-34.564.904.406.235.900
Banco Galicia;Banelco;CABILDO AV. 1828;2;http://www.banelco.com/;mar-15;-58.454.654.330.954.600;-34.564.713.820.735.200
Banco Patagonia;Banelco;CABILDO AV. 1939;3;http://www.banelco.com/;mar-15;-58.455.205.637.139.100;-34.563.452.285.932.700
Banco Itaú;Banelco;CABILDO AV. 2215;4;http://www.banelco.com/;mar-15;-58.457.458.313.644.800;-34.560.829.065.273.300
Citibank;Banelco;CABILDO AV. 2347;1;http://www.banelco.com/;mar-15;-58.458.494.448.539.900;-34.559.613.220.586.200
HSBC Argentina;Banelco;CABILDO AV. 2453;2;http://www.banelco.com/;mar-15;-58.459.351.643.550.200;-34.558.624.130.147.500
Banco Santander Río;Banelco;CABILDO AV. 2491;4;http://www.banelco.com/;mar-15;-58.459.650.465.242.100;-34.558.281.832.679.700
Banco Santander Río;Banelco;CABILDO AV. 2754;2;http://www.banelco.com/;mar-15;-58.461.809.707.177.100;-34.556.634.097.529.900
Banco Galicia;Banelco;CABILDO AV. 2762;4;http://www.banelco.com/;mar-15;-58.461.861.602.862.300;-34.556.573.988.978.600
HSBC Argentina;Banelco;CABILDO AV. 3096;4;http://www.banelco.com/;mar-15;-5.846.465.631.025.250;-3.455.373.270.581.740
Banco Santander Río;Banelco;CABILDO AV. 3349;1;http://www.banelco.com/;mar-15;-58.465.812.412.715.100;-34.551.577.946.132.200
Banco Santander Río;Banelco;CABILDO AV. 3349;2;http://www.banelco.com/;mar-15;-58.465.812.412.715.100;-34.551.577.946.132.200
Banco Itaú;Banelco;CABILDO AV. 3702;2;http://www.banelco.com/;mar-15;-58.468.468.730.191.700;-34.548.980.356.387.100
Banco Santander Río;Banelco;CABILDO AV. 4664;3;http://www.banelco.com/;mar-15;-58.473.765.568.850.500;-34.541.903.030.278.600
Banco Santander Río;Banelco;CABILDO AV. 695;1;http://www.banelco.com/;mar-15;-58.443.795.424.110.800;-34.570.257.798.753.500
ICBC;Banelco;CABILDO AV. 745;2;http://www.banelco.com/;mar-15;-58.444.349.688.271.600;-34.570.005.633.212.400
Banco Santander Río;Banelco;CABILDO AV. 769;2;http://www.banelco.com/;mar-15;-58.444.528.118.673.200;-34.569.918.017.470.300
HSBC Argentina;Banelco;CABILDO AV. 867;2;http://www.banelco.com/;mar-15;-58.445.317.639.713.400;-34.569.530.331.761.600
Banco Galicia;Banelco;CABILDO AV. 935;2;http://www.banelco.com/;mar-15;-58.445.875.718.036.700;-34.569.256.301.466.800
Banco Supervielle;Banelco;CALLAO AV. 1021;2;http://www.banelco.com/;mar-15;-58.393.006.013.875.000;-34.596.912.748.535.600
Banco Patagonia;Banelco;CALLAO AV. 1165;2;http://www.banelco.com/;mar-15;-58.393.020.598.747.000;-34.595.215.961.389.300
Banco Galicia;Banelco;CALLAO AV. 1171;2;http://www.banelco.com/;mar-15;-58.393.013.964.295.300;-34.595.156.636.967.100
Banco Itaú;Banelco;CALLAO AV. 1270;2;http://www.banelco.com/;mar-15;-58.393.331.543.748.300;-34.594.121.573.453.400
Banco Comafi;Banelco;CALLAO AV. 1279;1;http://www.banelco.com/;mar-15;-58.392.886.110.371.200;-34.594.058.944.645.500
Banco Galicia;Banelco;CALLAO AV. 141;3;http://www.banelco.com/;mar-15;-5.839.184.825.738.260;-34.607.481.276.616.500
BBVA-Banco Francés;Banelco;CALLAO AV. 1499;2;http://www.banelco.com/;mar-15;-58.391.842.002.629.400;-34.591.947.835.887.200
