Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Santander Río;Banelco;NAON, ROMULO 1802;2;http://www.banelco.com/;mar-15;-58.468.336.542.669.900;-34.572.888.616.156.400
BBVA-Banco Francés;Banelco;SAENZ AV. 1146;1;http://www.banelco.com/;mar-15;-58.416.057.711.616.100;-34.653.783.766.547.800
HSBC Argentina;Banelco;SAENZ AV. 1202;2;http://www.banelco.com/;mar-15;-58.416.196.980.242.500;-3.465.489.867.471.260
BBVA-Banco Francés;Banelco;SAN JUAN AV. 2654;2;http://www.banelco.com/;mar-15;-58.401.719.980.671.700;-34.623.906.750.966.400
Banco Santander Río;Banelco;SAN JUAN AV. 2812;3;http://www.banelco.com/;mar-15;-58.403.690.232.831.600;-34.624.149.850.306.800
Banco Galicia;Banelco;SAN JUAN AV. 3101;3;http://www.banelco.com/;mar-15;-58.409.029.630.301.300;-34.624.471.032.731.700
BBVA-Banco Francés;Banelco;SAN JUAN AV. 3599;1;http://www.banelco.com/;mar-15;-58.415.903.056.126.900;-34.625.253.694.593.700
Banco Patagonia;Banelco;SAN JUAN AV. 4300;1;http://www.banelco.com/;mar-15;-58.425.391.199.413.700;-34.626.953.402.003.800
BBVA-Banco Francés;Banelco;SAN MARTIN AV. 2349;2;http://www.banelco.com/;mar-15;-58.460.719.473.269.500;-34.603.727.780.598.800
Citibank;Banelco;SAN MARTIN AV. 5644;1;http://www.banelco.com/;mar-15;-58.496.190.042.804.100;-34.597.031.279.999.100
Banco Galicia;Banelco;SAN MARTIN AV. 5702;2;http://www.banelco.com/;mar-15;-58.496.804.775.008.800;-34.596.990.924.978.200
Banco Patagonia;Banelco;SAN MARTIN AV. 6931;1;http://www.banelco.com/;mar-15;-5.851.140.311.885.290;-34.591.373.083.505.800
Banco Patagonia;Banelco;SAN MARTIN AV. 6933;1;http://www.banelco.com/;mar-15;-58.511.430.027.234.400;-3.459.136.508.389.530
Banco Itaú;Banelco;SAN MARTIN AV. 2941;1;http://www.banelco.com/;mar-15;-5.846.673.223.658.690;-34.602.210.458.145.400
Banco Itaú;Banelco;SAN MARTIN AV. 7187;1;http://www.banelco.com/;mar-15;-58.514.955.602.463.300;-34.590.317.807.908.600
Banco Itaú;Banelco;SANTA FE AV. 1166;2;http://www.banelco.com/;mar-15;-58.383.715.478.131.400;-34.595.727.098.161.300
Banco Macro;Banelco;SANTA FE AV. 1288;1;http://www.banelco.com/;mar-15;-58.385.522.126.253.000;-34.595.846.577.407.000
Banco Galicia;Banelco;SANTA FE AV. 1301;2;http://www.banelco.com/;mar-15;-58.385.877.891.815.200;-34.595.535.593.203.300
Banco Santander Río;Banelco;SANTA FE AV. 1450;3;http://www.banelco.com/;mar-15;-58.387.768.278.520.100;-34.595.926.696.816.400
BBVA-Banco Francés;Banelco;SANTA FE AV. 1630;2;http://www.banelco.com/;mar-15;-58.390.543.306.399.200;-34.595.994.086.493.300
Citibank;Banelco;SANTA FE AV. 1634;1;http://www.banelco.com/;mar-15;-58.390.620.294.965.300;-34.595.995.456.862.500
BBVA-Banco Francés;Banelco;SANTA FE AV. 2121;2;http://www.banelco.com/;mar-15;-58.397.588.980.675.000;-34.595.345.457.914.000
Banco Santander Río;Banelco;SANTA FE AV. 2201;3;http://www.banelco.com/;mar-15;-58.398.602.395.627.600;-34.595.227.966.620.500
Banco Macro;Banelco;SANTA FE AV. 2220;2;http://www.banelco.com/;mar-15;-58.398.851.412.202.300;-34.595.509.513.809.600
HSBC Argentina;Banelco;SANTA FE AV. 2321;2;http://www.banelco.com/;mar-15;-58.400.185.669.382.500;-34.594.850.781.950.800
Citibank;Banelco;SANTA FE AV. 2565;3;http://www.banelco.com/;mar-15;-58.403.097.619.489.700;-34.594.045.083.198.700
BBVA-Banco Francés;Banelco;SANTA FE AV. 2699;2;http://www.banelco.com/;mar-15;-58.404.859.547.829.000;-34.593.301.346.939.600
Banco Comafi;Banelco;SANTA FE AV. 2762;1;http://www.banelco.com/;mar-15;-58.405.856.071.781.400;-34.593.009.060.519.300
Banco Galicia;Banelco;SANTA FE AV. 2835;3;http://www.banelco.com/;mar-15;-58.406.302.842.718.700;-34.592.128.382.532.100
Banco Supervielle;Banelco;SANTA FE AV. 2972;2;http://www.banelco.com/;mar-15;-58.407.867.117.191.200;-3.459.122.400.405.880
Banco Patagonia;Banelco;SANTA FE AV. 3060;2;http://www.banelco.com/;mar-15;-58.408.517.873.422.200;-34.590.621.332.863.000
Banco Santander Río;Banelco;SANTA FE AV. 3077;4;http://www.banelco.com/;mar-15;-5.840.851.847.488.900;-34.590.104.753.389.100
Banco Supervielle;Banelco;SANTA FE AV. 3164;1;http://www.banelco.com/;mar-15;-5.840.981.001.870.730;-34.589.530.867.597.900
Banco Santander Río;Banelco;SANTA FE AV. 3228;4;http://www.banelco.com/;mar-15;-58.410.655.013.495.600;-34.588.900.273.661.300
Banco Itaú;Banelco;SANTA FE AV. 3315;2;http://www.banelco.com/;mar-15;-58.411.726.836.487.500;-34.587.718.578.591.700
HSBC Argentina;Banelco;SANTA FE AV. 3400;2;http://www.banelco.com/;mar-15;-58.413.175.019.809.400;-34.587.211.366.117.700
ICBC;Banelco;SANTA FE AV. 3440;2;http://www.banelco.com/;mar-15;-58.413.648.591.845.200;-34.586.908.109.289.700
Banco Santander Río;Banelco;SANTA FE AV. 3655;3;http://www.banelco.com/;mar-15;-58.415.379.932.609.400;-34.585.299.630.522.400
Banco Galicia;Banelco;SANTA FE AV. 3701;3;http://www.banelco.com/;mar-15;-58.415.893.839.486.700;-34.584.975.315.613.200
Banco Patagonia;Banelco;SANTA FE AV. 3725;3;http://www.banelco.com/;mar-15;-58.416.066.045.083.900;-34.584.844.771.021.600
Banco Supervielle;Banelco;SANTA FE AV. 4453;2;http://www.banelco.com/;mar-15;-58.423.741.525.152.800;-34.579.244.704.080.800
Banco Santander Río;Banelco;SANTA FE AV. 4846;4;http://www.banelco.com/;mar-15;-584.280.633.865.041;-34.577.887.738.893.700
BBVA-Banco Francés;Banelco;SANTA FE AV. 5000;2;http://www.banelco.com/;mar-15;-58.430.153.933.384.000;-34.577.210.173.966.600
Banco Macro;Banelco;SANTA FE AV. 784;1;http://www.banelco.com/;mar-15;-5.837.794.232.980.040;-3.459.523.254.896.640
Banco Itaú;Banelco;SANTA FE AV. 831;1;http://www.banelco.com/;mar-15;-58.378.985.838.939.500;-34.594.961.741.928.100
Citibank;Banelco;SANTA FE AV. 832;1;http://www.banelco.com/;mar-15;-5.837.893.970.187.840;-34.595.320.295.913.400
HSBC Argentina;Banelco;SANTA FE AV. 861;2;http://www.banelco.com/;mar-15;-58.379.403.876.567.100;-34.594.998.525.884.700
Banco Santander Río;Banelco;SANTA FE AV. 880;2;http://www.banelco.com/;mar-15;-58.379.608.565.107.000;-34.595.379.148.378.700
BBVA-Banco Francés;Banelco;SANTA FE AV. 954;2;http://www.banelco.com/;mar-15;-58.380.740.130.338.500;-34.595.478.708.171.800
ICBC;Banelco;SANTA FE AV. 964;3;http://www.banelco.com/;mar-15;-58.380.886.933.800.400;-34.595.491.623.530.600
Banco Itaú;Banelco;SANTA FE AV. 2867;1;http://www.banelco.com/;mar-15;-58.406.625.515.665.200;-34.591.851.885.186.800
Banco Itaú;Banelco;SANTA FE AV. 3315;2;http://www.banelco.com/;mar-15;-58.411.726.836.487.500;-34.587.718.578.591.700
Banco Itaú;Banelco;SANTA FE AV. 831;2;http://www.banelco.com/;mar-15;-58.378.985.838.939.500;-34.594.961.741.928.100
Banco Macro;Banelco;SCALABRINI ORTIZ, RAUL AV. 1729;1;http://www.banelco.com/;mar-15;-58.423.582.847.003.200;-34.590.228.972.164.300
BBVA-Banco Francés;Banelco;SCALABRINI ORTIZ, RAUL AV. 2486;2;http://www.banelco.com/;mar-15;-58.416.325.641.164.900;-34.585.160.154.004.400
Banco Itaú;Banelco;SCALABRINI ORTIZ, RAUL 2524;1;http://www.banelco.com/;mar-15;-58.415.696.876.159.000;-34.584.842.834.103.600
Citibank;Banelco;SANTA FE AV. 3168;1;http://www.banelco.com/;mar-15;-58.409.854.728.329.100;-3.458.949.320.115.330
Banco Santander Río;Banelco;TRIUNVIRATO AV. 3633;2;http://www.banelco.com/;mar-15;-58.472.566.896.528.400;-34.581.897.744.837.000
Citibank;Banelco;TRIUNVIRATO AV. 3791;1;http://www.banelco.com/;mar-15;-58.474.574.289.201.600;-34.580.657.120.755.100
Banco Patagonia;Banelco;TRIUNVIRATO AV. 3897;2;http://www.banelco.com/;mar-15;-58.475.222.065.066.100;-34.579.883.026.251.100
Citibank;Banelco;TRIUNVIRATO AV. 4301;2;http://www.banelco.com/;mar-15;-58.481.424.739.235.700;-34.577.320.388.748.800
Banco Supervielle;Banelco;TRIUNVIRATO AV. 4302;2;http://www.banelco.com/;mar-15;-58.481.669.539.548.100;-34.577.534.347.071.100
Banco Itaú;Banelco;TRIUNVIRATO AV. 4410;2;http://www.banelco.com/;mar-15;-58.483.154.580.116.100;-34.576.541.989.674.100
ICBC;Banelco;TRIUNVIRATO AV. 4599;4;http://www.banelco.com/;mar-15;-5.848.529.939.933.790;-34.574.798.659.139.000
HSBC Argentina;Banelco;TRIUNVIRATO AV. 4601;3;http://www.banelco.com/;mar-15;-5.848.529.939.933.790;-34.574.798.659.139.000
Banco Santander Río;Banelco;TRIUNVIRATO AV. 4648;3;http://www.banelco.com/;mar-15;-58.486.008.146.077.800;-34.574.817.831.251.700
Banco Galicia;Banelco;VELEZ SARSFIELD AV. 1847;2;http://www.banelco.com/;mar-15;-58.388.720.858.822.400;-3.465.752.494.032.550
Banco Galicia;Banelco;WARNES AV. 2702;1;http://www.banelco.com/;mar-15;-58.476.868.971.667.900;-34.597.237.082.777.800
Banco Galicia;Banelco;ALVAREZ JONTE AV. 6383;1;http://www.banelco.com/;mar-15;-58.520.954.188.707.700;-34.633.682.195.756.500
Citibank;Banelco;CABILDO AV. 1717;1;http://www.banelco.com/;mar-15;-58.453.374.048.816.400;-34.565.287.504.932.000
HSBC Argentina;Banelco;CABILDO AV. 2453;1;http://www.banelco.com/;mar-15;-58.459.351.643.550.200;-34.558.624.130.147.500
BBVA-Banco Francés;Banelco;CABILDO AV. 3622;1;http://www.banelco.com/;mar-15;-5.846.773.399.356.350;-34.549.835.400.153.200
Citibank;Banelco;CALLAO AV. 1902;1;http://www.banelco.com/;mar-15;-58.388.123.021.528.000;-3.458.814.330.843.860
BBVA-Banco Francés;Banelco;CALLAO AV. 257;1;http://www.banelco.com/;mar-15;-58.391.940.421.767.100;-34.606.130.432.897.200
Banco Comafi;Banelco;CORDOBA AV. 669;1;http://www.banelco.com/;mar-15;-58.376.389.981.855.400;-34.598.595.899.212.100
BBVA-Banco Francés;Banelco;DIAZ, CNEL. AV. 2257;1;http://www.banelco.com/;mar-15;-58.407.788.770.414.500;-34.586.152.747.964.500
HSBC Argentina;Banelco;CORRIENTES AV. 3158;1;http://www.banelco.com/;mar-15;-58.409.741.850.929.600;-34.604.241.071.781.400
Banco Galicia;Banelco;CORRIENTES AV. 409;3;http://www.banelco.com/;mar-15;-58.372.624.935.532.500;-34.602.977.051.830.700
Citibank;Banelco;CORRIENTES AV. 4618;1;http://www.banelco.com/;mar-15;-58.430.505.977.826.600;-34.602.403.735.066.600
BBVA-Banco Francés;Banelco;CORRIENTES AV. 942;1;http://www.banelco.com/;mar-15;-58.380.077.171.070.000;-34.603.795.219.151.400
BBVA-Banco Francés;Banelco;DEL LIBERTADOR AV. 6220;2;http://www.banelco.com/;mar-15;-58.449.638.278.792.600;-34.554.729.996.617.900
Banco Santander Río;Banelco;DIRECTORIO AV. 1950;2;http://www.banelco.com/;mar-15;-58.454.844.305.998.800;-34.631.840.728.869.700
BBVA-Banco Francés;Banelco;PERON, EVA AV. 4941;1;http://www.banelco.com/;mar-15;-58.479.180.209.263.100;-34.657.859.073.901.100
Banco Supervielle;Banelco;FIGUEROA ALCORTA, PRES. AV. 6608;1;http://www.banelco.com/;mar-15;-58.437.151.146.316.400;-34.551.558.167.426.900
Banco Patagonia;Banelco;GAONA AV. 1129;1;http://www.banelco.com/;mar-15;-58.446.274.549.319.700;-34.607.435.348.787.600
Banco Santander Río;Banelco;PAZ, GRAL. AV. y HUMAITA;1;http://www.banelco.com/;mar-15;-58.528.664.821.041.100;-34.645.971.763.210.300
Banco Supervielle;Banelco;INDEPENDENCIA AV. 1743;1;http://www.banelco.com/;mar-15;-58.390.934.851.448.200;-34.617.935.926.408.700
Banco Galicia;Banelco;INDEPENDENCIA AV. 3691;2;http://www.banelco.com/;mar-15;-58.417.918.851.207.600;-34.620.900.713.028.700
BBVA-Banco Francés;Banelco;ALBERDI, JUAN BAUTISTA AV. 6401;1;http://www.banelco.com/;mar-15;-58.507.467.019.481.600;-34.655.501.086.048.500
Banco Santander Río;Banelco;JUSTO, JUAN B. AV. y LOPE DE VEGA;1;http://www.banelco.com/;mar-15;-58.501.409.498.501.300;-34.632.145.483.916.300
Banco Galicia;Banelco;JURAMENTO AV. 2095;3;http://www.banelco.com/;mar-15;-58.453.830.291.420.900;-34.560.198.456.522.700
BBVA-Banco Francés;Banelco;LAS HERAS GENERAL AV. 2332;1;http://www.banelco.com/;mar-15;-58.397.944.186.335.600;-34.587.083.657.455.000
HSBC Argentina;Banelco;DEL LIBERTADOR AV. 6350;1;http://www.banelco.com/;mar-15;-58.450.676.500.544.600;-34.553.524.446.635.700
BBVA-Banco Francés;Banelco;GARCIA, MARTIN AV. 702;1;http://www.banelco.com/;mar-15;-58.373.422.922.755.200;-34.632.641.808.990.800
BBVA-Banco Francés;Banelco;MONROE 3099;1;http://www.banelco.com/;mar-15;-58.466.454.444.725.300;-34.562.028.701.607.600
HSBC Argentina;Banelco;MONTES DE OCA, MANUEL 1701;1;http://www.banelco.com/;mar-15;-58.373.300.908.257.500;-34.646.907.743.957.900
Banco Santander Río;Banelco;MONTES DE OCA, MANUEL 895;2;http://www.banelco.com/;mar-15;-58.374.811.659.077.300;-34.638.611.530.195.500
BBVA-Banco Francés;Banelco;PUEYRREDON AV. 1001;1;http://www.banelco.com/;mar-15;-58.403.501.937.845.500;-34.598.365.519.613.500
BBVA-Banco Francés;Banelco;OBLIGADO RAFAEL, AV.COSTANERA 1221;1;http://www.banelco.com/;mar-15;-58.395.475.562.578.200;-34.571.547.665.069.800
Citibank;Banelco;RIVADAVIA AV. 11086;1;http://www.banelco.com/;mar-15;-58.520.716.512.792.600;-34.639.141.300.785.300
HSBC Argentina;Banelco;RIVADAVIA AV. 11200;1;http://www.banelco.com/;mar-15;-58.522.388.227.109.400;-34.639.063.457.642.700
HSBC Argentina;Banelco;RIVADAVIA AV. 2470;1;http://www.banelco.com/;mar-15;-5.840.129.300.308.360;-34.610.038.189.363.500
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 2577;1;http://www.banelco.com/;mar-15;-5.840.296.643.794.240;-34.609.773.677.045.500
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 4059;1;http://www.banelco.com/;mar-15;-58.423.145.882.510.800;-34.612.200.112.690.400
Citibank;Banelco;RIVADAVIA AV. 6130;1;http://www.banelco.com/;mar-15;-58.452.481.057.231.400;-34.625.228.283.998.300
Banco Santander Río;Banelco;RIVADAVIA AV. 8201;1;http://www.banelco.com/;mar-15;-58.479.158.193.656.000;-34.632.935.793.422.600
BBVA-Banco Francés;Banelco;SAENZ AV. 1146;1;http://www.banelco.com/;mar-15;-58.416.057.711.616.100;-34.653.783.766.547.800
Citibank;Banelco;SAN JUAN AV. 2379;1;http://www.banelco.com/;mar-15;-58.398.986.848.513.900;-34.623.199.433.071.900
HSBC Argentina;Banelco;SANTA FE AV. 2321;2;http://www.banelco.com/;mar-15;-58.400.185.669.382.500;-34.594.850.781.950.800
HSBC Argentina;Banelco;SANTA FE AV. 3117;3;http://www.banelco.com/;mar-15;-58.408.949.746.752.700;-34.589.740.673.974.300
Banco Comafi;Banelco;SANTA FE AV. 4018;3;http://www.banelco.com/;mar-15;-58.420.320.354.558.400;-34.582.396.821.863.200
Banco Galicia;Banelco;SANTA FE AV. 975;3;http://www.banelco.com/;mar-15;-58.381.109.225.653.100;-34.595.148.567.489.500
Banco Supervielle;Banelco;SCALABRINI ORTIZ, RAUL AV. 249;2;http://www.banelco.com/;mar-15;-58.439.241.904.780.200;-34.600.391.597.420.700
BBVA-Banco Francés;Banelco;TRIUNVIRATO AV. 4274;1;http://www.banelco.com/;mar-15;-58.481.177.825.391.800;-3.457.789.944.497.740
Banco Itaú;Banelco;TRIUNVIRATO AV. 4410;1;http://www.banelco.com/;mar-15;-58.483.154.580.116.100;-34.576.541.989.674.100
Banco Galicia;Banelco;TRIUNVIRATO AV. 4458;3;http://www.banelco.com/;mar-15;-58.483.756.222.194.400;-34.576.170.574.383.300
BBVA-Banco Francés;Banelco;TRIUNVIRATO AV. 5201;1;http://www.banelco.com/;mar-15;-58.490.436.297.416.800;-34.570.911.208.006.400
Banco Santander Río;Banelco;TRIUNVIRATO AV. y LARRALDE, CRISOLOGO AV.;1;http://www.banelco.com/;mar-15;-58.496.708.743.387.400;-34.563.803.445.561.800
Banco Itaú;Banelco;DEL LIBERTADOR AV. 1850;2;http://www.banelco.com/;mar-15;-58.399.912.793.933.900;-34.582.865.813.255.900
BBVA-Banco Francés;Banelco;SAN PEDRITO AV. 49;1;http://www.banelco.com/;mar-15;-58.469.526.237.212.000;-34.631.479.920.041.700
Banco Patagonia;Banelco;AZARA 841;1;http://www.banelco.com/;mar-15;-58.371.316.592.698.200;-34.639.736.465.578.400
ICBC;Banelco;CABILDO AV. 3223;1;http://www.banelco.com/;mar-15;-58.465.096.042.260.400;-34.552.469.415.239.400
ICBC;Banelco;DE MAYO AV. 1202;2;http://www.banelco.com/;mar-15;-58.383.552.160.465.700;-34.609.378.245.432.400
ICBC;Banelco;RIVADAVIA AV. 5234;2;http://www.banelco.com/;mar-15;-58.439.327.388.958.000;-3.461.977.970.250.030
ICBC;Banelco;SANTA FE AV. 3316;2;http://www.banelco.com/;mar-15;-58.411.999.314.887.200;-34.588.000.068.939.000
Banco Patagonia;Banelco;CORRIENTES AV. 3200;2;http://www.banelco.com/;mar-15;-58.410.309.558.702.400;-34.604.211.727.831.500
Banco Comafi;Banelco;MITRE, BARTOLOME 2815;2;http://www.banelco.com/;mar-15;-58.406.325.557.194.400;-34.608.687.758.104.200
Banco Supervielle;Banelco;MITRE, BARTOLOME 434;4;http://www.banelco.com/;mar-15;-5.837.270.534.528.340;-34.606.882.479.963.800
Citibank;Banelco;MITRE, BARTOLOME 530;1;http://www.banelco.com/;mar-15;-58.374.045.443.217.300;-34.606.983.798.698.200
Banco Itaú;Banelco;MITRE, BARTOLOME 899;1;http://www.banelco.com/;mar-15;-5.837.914.943.653.060;-34.607.078.276.494.300
Banco Itaú;Banelco;MITRE, BARTOLOME 899;2;http://www.banelco.com/;mar-15;-5.837.914.943.653.060;-34.607.078.276.494.300
Banco Itaú;Banelco;IRIGOYEN, BERNARDO DE 1340;1;http://www.banelco.com/;mar-15;-58.379.435.443.348.200;-34.624.188.080.856.200
BBVA-Banco Francés;Banelco;IRIGOYEN, BERNARDO DE 1600;1;http://www.banelco.com/;mar-15;-58.378.305.188.266.700;-34.627.241.016.301.700
Banco Patagonia;Banelco;IRIGOYEN, BERNARDO DE 400;3;http://www.banelco.com/;mar-15;-58.380.337.901.709.900;-34.612.868.976.956.400
Banco Comafi;Banelco;IRIGOYEN, BERNARDO DE 1578;1;http://www.banelco.com/;mar-15;-58.378.402.811.523.000;-34.627.095.709.218.900
Banco Macro;Banelco;BILLINGHURST 1831;2;http://www.banelco.com/;mar-15;-58.409.113.007.712.400;-34.589.394.320.743.800
Banco Santander Río;Banelco;MITRE, BARTOLOME 480;8;http://www.banelco.com/;mar-15;-58.373.321.201.845.400;-34.606.925.242.761.400
HSBC Argentina;Banelco;BOUCHARD 557;1;http://www.banelco.com/;mar-15;-58.369.025.687.067.400;-34.601.054.559.604.500
HSBC Argentina;Banelco;BRASIL 1199;1;http://www.banelco.com/;mar-15;-58.382.659.736.746.800;-34.627.742.200.383.800
BBVA-Banco Francés;Banelco;PELLEGRINI, CARLOS 1413;1;http://www.banelco.com/;mar-15;-58.381.330.654.369.000;-34.591.426.776.832.700
Banco Itaú;Banelco;CABILDO AV. 3702;1;http://www.banelco.com/;mar-15;-58.468.468.730.191.700;-34.548.980.356.387.100
Banco Macro;Banelco;CABILDO AV. 850;1;http://www.banelco.com/;mar-15;-58.445.398.698.179.300;-34.569.909.852.450.100
Citibank;Banelco;CAÑADA DE GOMEZ 4830;1;http://www.banelco.com/;mar-15;-58.474.477.362.915.900;-34.685.453.049.212.300
Citibank;Banelco;CALVO, CARLOS 1530;1;http://www.banelco.com/;mar-15;-58.387.756.479.011.500;-34.620.166.117.289.000
Banco Galicia;Banelco;PELLEGRINI, CARLOS 1391;2;http://www.banelco.com/;mar-15;-58.381.345.422.468.400;-34.591.739.799.113.600
ICBC;Banelco;PELLEGRINI, CARLOS 479;3;http://www.banelco.com/;mar-15;-58.380.804.203.386.800;-346.027.652.256.209
ICBC;Banelco;GRIERSON, CECILIA 355;3;http://www.banelco.com/;mar-15;-5.836.451.248.413.330;-34.598.368.109.382.100
Banco Santander Río;Banelco;CERRITO 1146;2;http://www.banelco.com/;mar-15;-58.382.959.479.795.700;-34.594.947.061.527.400
Banco Patagonia;Banelco;CERRITO 1274;2;http://www.banelco.com/;mar-15;-58.383.036.005.963.900;-34.593.250.852.624.100
Banco Itaú;Banelco;CERRITO 748;3;http://www.banelco.com/;mar-15;-58.382.692.471.913.400;-34.599.754.100.560.000
Banco Itaú;Banelco;CERVIÑO AV. 3654;1;http://www.banelco.com/;mar-15;-58.410.657.655.094.700;-34.579.774.470.857.200
Banco Supervielle;Banelco;CERVIÑO AV. 3793;2;http://www.banelco.com/;mar-15;-58.412.119.312.862.900;-3.457.901.537.174.030
BBVA-Banco Francés;Banelco;CERVIÑO AV. 4648;2;http://www.banelco.com/;mar-15;-58.422.967.400.789.800;-34.575.466.305.736.900
Banco Santander Río;Banelco;CERVIÑO AV. 4709;2;http://www.banelco.com/;mar-15;-58.423.599.778.668.200;-34.574.847.520.818.600
Banco Itaú;Banelco;CERVIÑO AV. 3654;1;http://www.banelco.com/;mar-15;-58.410.657.655.094.700;-34.579.774.470.857.200
Banco Patagonia;Banelco;CHACABUCO 15;3;http://www.banelco.com/;mar-15;-5.837.660.751.903.900;-34.608.310.119.751.400
Banco Supervielle;Banelco;CHARCAS 3602;2;http://www.banelco.com/;mar-15;-58.416.126.434.384.000;-34.589.022.866.587.000
Banco Comafi;Banelco;CIUDAD DE LA PAZ 2175;1;http://www.banelco.com/;mar-15;-58.458.099.885.350.500;-34.561.807.494.781.400
Citibank;Banelco;COLONIA AV. 170;1;http://www.banelco.com/;mar-15;-58.397.948.074.522.800;-34.637.746.447.013.300
Banco Santander Río;Banelco;CUBA 1920;2;http://www.banelco.com/;mar-15;-58.453.477.206.826.600;-34.562.700.713.121.500
Citibank;Banelco;CUENCA 2567;1;http://www.banelco.com/;mar-15;-58.491.290.189.882.300;-34.605.960.546.613.800
BBVA-Banco Francés;Banelco;CUENCA 3401;2;http://www.banelco.com/;mar-15;-58.497.350.666.325.900;-34.598.380.805.665.700
ICBC;Banelco;CUENCA 3470;2;http://www.banelco.com/;mar-15;-58.498.146.806.826.700;-34.597.905.244.507.800
HSBC Argentina;Banelco;CUENCA 3479;1;http://www.banelco.com/;mar-15;-58.497.855.553.329.100;-34.597.610.068.119.600
Banco Itaú;Banelco;DEFENSA 818;3;http://www.banelco.com/;mar-15;-58.371.440.998.369.900;-3.461.742.186.476.790
ICBC;Banelco;DELLA PAOLERA, CARLOS M. 265;3;http://www.banelco.com/;mar-15;-58.371.900.326.099.200;-34.594.982.940.241.100
Banco Santander Río;Banelco;ECHEANDIA 2602;2;http://www.banelco.com/;mar-15;-58.456.536.316.835.600;-3.464.160.450.434.090
ICBC;Banelco;ECHEVERRIA 2357;2;http://www.banelco.com/;mar-15;-58.455.486.922.289.500;-3.456.253.951.420.350
Citibank;Banelco;MADERO, EDUARDO AV. 900;1;http://www.banelco.com/;mar-15;-58.370.175.389.481.200;-34.597.227.290.600.800
BBVA-Banco Francés;Banelco;ESMERALDA 199;2;http://www.banelco.com/;mar-15;-58.377.829.294.460.900;-34.606.060.697.687.200
Banco Comafi;Banelco;ESQUIU 1039;1;http://www.banelco.com/;mar-15;-58.418.187.130.048.000;-34.651.622.107.984.800
Banco Santander Río;Banelco;GARAY, JUAN DE AV. 1302;1;http://www.banelco.com/;mar-15;-58.384.508.462.213.900;-34.627.178.130.769.000
Citibank;Banelco;PERON, EVA AV. 3568;1;http://www.banelco.com/;mar-15;-58.465.513.563.772.000;-34.645.350.545.617.700
Citibank;Banelco;PERON, EVA AV. 5526;1;http://www.banelco.com/;mar-15;-58.484.234.339.617.400;-34.661.589.216.047.500
Citibank;Banelco;FLORIDA 199;1;http://www.banelco.com/;mar-15;-58.374.927.086.716.600;-34.605.883.624.193.100
HSBC Argentina;Banelco;FLORIDA 201;8;http://www.banelco.com/;mar-15;-58.375.025.475.433.800;-34.605.603.968.475.600
Banco Galicia;Banelco;FLORIDA 361;4;http://www.banelco.com/;mar-15;-58.374.976.663.499.600;-34.603.802.432.701.600
HSBC Argentina;Banelco;FLORIDA 40;14;http://www.banelco.com/;mar-15;-58.375.181.210.667.900;-3.460.758.591.442.600
Citibank;Banelco;FLORIDA 746;3;http://www.banelco.com/;mar-15;-58.375.574.812.382.900;-345.993.464.901.415
BBVA-Banco Francés;Banelco;FLORIDA 802;2;http://www.banelco.com/;mar-15;-58.375.533.614.253.200;-34.598.563.402.716.600
Banco Patagonia;Banelco;FLORIDA 999;2;http://www.banelco.com/;mar-15;-58.375.311.994.664.800;-34.596.348.402.447.600
HSBC Argentina;Banelco;GASCON 450;3;http://www.banelco.com/;mar-15;-58.424.814.716.553.000;-34.606.622.006.009.400
Banco Galicia;Banelco;GUARDIA VIEJA 4558;1;http://www.banelco.com/;mar-15;-58.429.098.311.702.700;-34.600.051.696.869.900
Banco Patagonia;Banelco;YRIGOYEN, HIPOLITO AV. 1778;1;http://www.banelco.com/;mar-15;-58.391.371.731.802.800;-34.610.396.549.118.600
Banco Santander Río;Banelco;YRIGOYEN, HIPOLITO AV. 402;5;http://www.banelco.com/;mar-15;-58.372.236.503.311.200;-34.609.107.808.328.600
Citibank;Banelco;IGUAZU 341;1;http://www.banelco.com/;mar-15;-58.406.407.174.976.000;-34.641.733.810.021.400
Banco Santander Río;Banelco;SALGUERO, JERONIMO 2727;3;http://www.banelco.com/;mar-15;-5.840.804.981.049.060;-34.580.261.438.876.300
Banco Santander Río;Banelco;SALGUERO, JERONIMO 3212;3;http://www.banelco.com/;mar-15;-58.403.902.665.441.700;-34.575.195.210.304.900
Banco Itaú;Banelco;SUAREZ, JOSE LEON 44;1;http://www.banelco.com/;mar-15;-58.527.448.893.253.500;-3.463.971.952.131.570
HSBC Argentina;Banelco;VARELA, JOSE PEDRO 4750;1;http://www.banelco.com/;mar-15;-58.516.417.976.565.600;-3.461.045.377.036.620
Banco Comafi;Banelco;VARELA, JOSE PEDRO 4866;1;http://www.banelco.com/;mar-15;-58.517.863.440.556.000;-34.611.380.320.763.100
Banco Itaú;Banelco;SUAREZ, JOSE LEON 44;2;http://www.banelco.com/;mar-15;-58.527.448.893.253.500;-3.463.971.952.131.570
Banco Macro;Banelco;ALBERDI, JUAN BAUTISTA AV. 5902;2;http://www.banelco.com/;mar-15;-58.503.013.383.354.700;-34.652.490.150.858.500
